Campaign Name,Send Time,Recipients,Revenue,First Purchase,Returning Customer,Open Rate,Click Rate,CTR,CVR,Time_Interval,Day_of_Week
Clientes dicen que les cambió su energía diaria,2025-07-17 08:30:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08:00–09:00,Thursday
Vuelve stock: Runner Pro (follow-up),2025-07-17 07:00:00,0,113.0,113.0,0.0,0.0,0.0,0.0,0.0,07:00–08:00,Thursday
Vuelve stock: Runner Pro (interesados),2025-07-17 07:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07:00–08:00,Thursday
¿Tu calzado está dañando tu postura?,2025-07-16 08:30:00,38469,2916.0,2812.0,105.0,0.7402,0.0069,0.009300000000000001,0.0006,08:00–09:00,Wednesday
Vuelve stock: Runner Pro,2025-07-14 12:30:00,118656,13108.0,2215.0,10893.0,0.7138,0.022000000000000002,0.0308,0.0008,12:00–13:00,Monday
Estudio: 93% reporta mejor descanso — ¿eres uno? (clone),2025-07-12 08:00:00,38271,3014.0,2943.0,71.0,0.6723,0.0123,0.0182,0.0007000000000000001,08:00–09:00,Saturday
Estudio: 93% reporta mejor descanso — ¿eres uno?,2025-07-11 08:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08:00–09:00,Friday
Más energía en 7 días: sistema nervioso (v2),2025-07-10 12:00:00,143542,5644.0,0.0,5644.0,0.40990000000000004,0.0073,0.0177,0.0003,12:00–13:00,Thursday
Venta 4 de Julio — última oportunidad,2025-07-06 18:00:00,120652,16136.0,7314.0,8822.0,0.6823,0.013300000000000001,0.0195,0.0012,18:00–19:00,Sunday
Venta 4 de Julio,2025-07-04 10:00:00,119300,18368.0,6781.0,11586.0,0.6746,0.0139,0.0207,0.0014000000000000002,10:00–11:00,Friday
Venta 4 de Julio (v2),2025-07-04 07:00:00,2041,556.0,407.0,148.0,0.6727,0.0103,0.015300000000000001,0.002,07:00–08:00,Friday
La ciencia detrás del ajuste (y cómo notarlo diario),2025-07-03 08:00:00,36949,2897.0,2692.0,205.0,0.7164,0.011000000000000001,0.015300000000000001,0.0007000000000000001,08:00–09:00,Thursday
"¿Qué es moverte natural, de verdad?",2025-07-01 12:00:00,36511,2424.0,2424.0,0.0,0.7056999999999999,0.0078000000000000005,0.011000000000000001,0.0005,12:00–13:00,Tuesday
Miércoles: Move Natural #2,2025-06-25 17:30:00,18758,949.0,157.0,792.0,0.5537,0.0018,0.0033,0.0006,17:00–18:00,Wednesday
Movimiento natural reduce inflamación hasta 30%,2025-06-25 08:00:00,35540,4981.0,4773.0,208.0,0.691,0.013300000000000001,0.0192,0.0012,08:00–09:00,Wednesday
Solsticio de verano,2025-06-21 12:00:00,100760,4715.0,1470.0,3245.0,0.7442,0.0077,0.0103,0.0004,12:00–13:00,Saturday
Día del Yoga: encuentra tu zen en movimiento,2025-06-21 12:00:00,6225,374.0,374.0,0.0,0.6577,0.0045000000000000005,0.0068000000000000005,0.0005,12:00–13:00,Saturday
Miles sienten más energía y claridad con esta tecnología,2025-06-19 08:00:00,34593,1787.0,1787.0,0.0,0.6969,0.0069,0.009899999999999999,0.0005,08:00–09:00,Thursday
Miércoles: Move Natural,2025-06-18 18:15:00,18698,569.0,0.0,569.0,0.5583,0.0014000000000000002,0.0025,0.0002,18:00–19:00,Wednesday
Follow-up Día del Padre,2025-06-17 11:00:00,89586,17743.0,7773.0,9970.0,0.8452,0.0083,0.0098,0.0019,11:00–12:00,Tuesday
Venta Día del Padre — último día,2025-06-15 12:30:00,105891,16766.0,6469.0,10297.0,0.7495999999999999,0.015300000000000001,0.0204,0.0015,12:00–13:00,Sunday
Venta Día del Padre,2025-06-13 06:45:00,114605,35972.0,14725.0,21247.0,0.7006,0.016200000000000003,0.0232,0.0029,06:00–07:00,Friday
¿Qué hace diferente a estas sandalias?,2025-06-12 08:00:00,33070,1820.0,1820.0,0.0,0.7056,0.0072,0.0102,0.0005,08:00–09:00,Thursday
¿Tus pies afectan tu postura?,2025-06-10 06:45:00,117950,4813.0,1711.0,3102.0,0.6981999999999999,0.006500000000000001,0.009300000000000001,0.0004,06:00–07:00,Tuesday
Día de los Océanos: calzado con enfoque eco,2025-06-08 07:30:00,106898,4996.0,1944.0,3052.0,0.7579,0.013500000000000002,0.0178,0.0004,07:00–08:00,Sunday
Reto “Move Natural”,2025-06-07 09:00:00,143881,4129.0,0.0,4129.0,0.4299,0.0051,0.011899999999999999,0.0003,09:00–10:00,Saturday
Reto “Move Natural” (v2),2025-06-07 08:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08:00–09:00,Saturday
Día del Medio Ambiente,2025-06-05 13:30:00,103657,4487.0,1813.0,2674.0,0.7356,0.0076,0.0103,0.0004,13:00–14:00,Thursday
Acceso anticipado Día del Padre (solo texto) — follow-up,2025-06-04 15:15:00,72646,18710.0,6995.0,11715.0,0.9027,0.023,0.0254,0.0024,15:00–16:00,Wednesday
Acceso anticipado Día del Padre (solo texto),2025-06-03 14:30:00,127488,30165.0,10322.0,19843.0,0.6916,0.028399999999999998,0.040999999999999995,0.0023,14:00–15:00,Tuesday
Mira por dónde se mueve la comunidad,2025-05-28 10:00:00,30591,1282.0,1282.0,0.0,0.6793,0.0064,0.009399999999999999,0.0003,10:00–11:00,Wednesday
Memorial Day!,2025-05-26 12:00:00,109849,29016.0,11537.0,17479.0,0.7132,0.0127,0.0178,0.0025,12:00–13:00,Monday
Pre-venta Memorial Day,2025-05-23 09:00:00,182018,53277.0,15460.0,37817.0,0.491,0.0187,0.0381,0.0025,09:00–10:00,Friday
3 formas de moverte mejor cada día,2025-05-20 18:00:00,71912,3878.0,1618.0,2260.0,0.7284,0.006500000000000001,0.009000000000000001,0.0006,18:00–19:00,Tuesday
Día Outdoor (clone),2025-05-18 09:30:00,71690,3922.0,1666.0,2256.0,0.7162000000000001,0.0064,0.009000000000000001,0.0005,09:00–10:00,Sunday
Día Internacional de la Familia,2025-05-15 08:00:00,84210,4865.0,1918.0,2947.0,0.6045,0.0066,0.0109,0.0005,08:00–09:00,Thursday
Campaña: feature de producto,2025-05-13 18:00:00,86230,4936.0,2268.0,2667.0,0.6057,0.0151,0.025,0.0005,18:00–19:00,Tuesday
Para las mujeres que nos mueven,2025-05-11 09:30:00,83265,5893.0,2881.0,3011.0,0.5888,0.0097,0.0165,0.0007000000000000001,09:00–10:00,Sunday
La ciencia del movimiento natural en mujeres,2025-05-09 18:30:00,84615,3922.0,2035.0,1887.0,0.5936,0.0092,0.0155,0.0004,18:00–19:00,Friday
Pensé que el dolor era para siempre — edición personal,2025-05-06 18:30:00,82766,4432.0,1731.0,2701.0,0.598,0.0087,0.014499999999999999,0.0005,18:00–19:00,Tuesday
Hecho para mantenerte en movimiento,2025-05-05 10:00:00,85625,3138.0,912.0,2226.0,0.5752,0.0066,0.011399999999999999,0.0004,10:00–11:00,Monday
Bienvenido Mayo,2025-05-02 09:30:00,82521,5240.0,1832.0,3408.0,0.5865,0.0058,0.009899999999999999,0.0006,09:00–10:00,Friday
Consigue tu par antes de las caminatas,2025-04-27 18:30:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18:00–19:00,Sunday
Consigue tu par antes de las caminatas (v2),2025-04-27 18:30:00,82828,4551.0,2543.0,2008.0,0.5876,0.0088,0.0149,0.0005,18:00–19:00,Sunday
Arbor Day: 10% OFF,2025-04-25 11:00:00,82290,6700.0,2002.0,4697.0,0.5908,0.006999999999999999,0.0118,0.0008,11:00–12:00,Friday
Arbor Day: 10% OFF (v2),2025-04-25 10:30:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:00–11:00,Friday
Día de la Tierra: edición especial “Move Natural”,2025-04-22 18:00:00,76226,6753.0,2175.0,4578.0,0.5796,0.0097,0.0167,0.0009,18:00–19:00,Tuesday
15% OFF: pasos más fuertes para mamá,2025-04-20 18:00:00,9318,955.0,323.0,632.0,0.5261,0.014199999999999999,0.0269,0.0009,18:00–19:00,Sunday
15% OFF: pasos más fuertes para mamá (actualizado),2025-04-20 18:00:00,66822,9356.0,2615.0,6740.0,0.6032,0.0131,0.0218,0.0013,18:00–19:00,Sunday
El regalo de mamá que la acompaña,2025-04-19 15:45:00,100554,15428.0,4127.0,11301.0,0.46299999999999997,0.016,0.0345,0.0012,15:00–16:00,Saturday
Las mentiras más grandes del calzado,2025-04-17 16:30:00,83743,2926.0,307.0,2619.0,0.6009,0.0097,0.0161,0.0004,16:00–17:00,Thursday
Del cushion al control,2025-04-15 14:00:00,83018,3111.0,884.0,2227.0,0.5943999999999999,0.0091,0.015300000000000001,0.0004,14:00–15:00,Tuesday
Duo Pack: compra 1 y el 2do -20%,2025-04-10 18:00:00,85592,7323.0,1606.0,5718.0,0.6009,0.0096,0.016,0.0007000000000000001,18:00–19:00,Thursday
Test de deliverability,2025-04-08 17:31:30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17:00–18:00,Tuesday
Día de la Salud: reconstruye desde la base,2025-04-07 12:00:00,83032,15463.0,3489.0,11973.0,0.6169,0.0138,0.0223,0.0018,12:00–13:00,Monday
